partition,index,custID,age,relationship,commtype,Outcome,Treatment,city_Bhopal,city_Chennai,city_Delhi,city_Gurgaon,city_Hyderabad,city_Indore,city_Kochi,city_Lucknow,city_Mumbai,city_Nagpur,city_Noida,city_Raipur,camptype_easy to bank,camptype_mandatory,camptype_ntb,camptype_onboarding,camptype_take two,Propensity,Proba_if_Treated,Proba_if_Untreated,CATE,Recommendation
train,0,17,52,149,0,0,1.0000000000000000e+00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0968523509945485e-01,3.1381204724311829e-02,7.2694639675319195e-03,2.4111740291118622e-02,1.0000000000000000e+00
train,1,9,29,168,0,1,1.0000000000000000e+00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.8801261290552711e-01,6.2156116962432861e-01,7.9029006883502007e-03,6.1365824937820435e-01,1.0000000000000000e+00
train,2,96,32,98,1,0,1.0000000000000000e+00,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4.4659199748465400e-01,1.5296819806098938e-01,9.3842238187789917e-02,5.9125959873199463e-02,1.0000000000000000e+00
train,3,34,42,56,1,0,1.0000000000000000e+00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5.1336141060349383e-01,6.9499574601650238e-02,1.1594888567924500e-01,-4.6449311077594757e-02,0.0000000000000000e+00
train,4,66,51,152,1,0,1.0000000000000000e+00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.8935519093522933e-01,1.7144507169723511e-01,2.4837966263294220e-01,-7.6934590935707092e-02,0.0000000000000000e+00
train,5,4,23,147,0,0,1.0000000000000000e+00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8884894715296051e-01,3.1065417453646660e-02,1.5877472236752510e-02,1.5187945216894150e-02,0.0000000000000000e+00
train,6,13,56,153,0,0,1.0000000000000000e+00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5.1400969882263847e-01,1.0678192973136902e-01,8.7932713329792023e-02,1.8849216401576996e-02,1.0000000000000000e+00
train,7,23,60,135,1,0,0.0000000000000000e+00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5.1751402402267421e-01,1.8656300008296967e-01,5.6168638169765472e-02,1.3039436936378479e-01,1.0000000000000000e+00
train,8,20,48,32,1,0,0.0000000000000000e+00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.2910296646873578e-01,5.7052005082368851e-02,9.4339763745665550e-03,4.7618027776479721e-02,1.0000000000000000e+00
train,9,35,60,161,1,0,1.0000000000000000e+00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0753249389549926e-01,1.0770273208618164e-01,1.8184455111622810e-02,8.9518278837203979e-02,1.0000000000000000e+00
